RA,Dec,z_cl,N_mem,logMs,z_bcg,ID,
0.002008,2.319796,0.4284,18.655,12.379,0.42819,C19a1sW00001,
0.005332,2.42992,0.4023,10.294,11.786,-1.0,C19a1sW00002,
0.016384,0.705171,0.25,13.928,12.153,-1.0,C19a1sW00003,
0.017412,2.328003,0.6544,14.825,12.2,0.64435,C19a1sW00004,
0.05806,2.016673,0.785,10.5,12.119,-1.0,C19a1sW00005,
0.058832,0.260747,0.8601,10.13,11.967,-1.0,C19a1sW00006,
0.081092,-0.166937,0.554,13.673,12.118,0.53935,C19a1sW00007,
0.084864,1.795861,0.6588,11.296,12.07,0.64978,C19a1sW00008,
0.092218,1.099093,0.7508,11.924,12.1,-1.0,C19a1sW00009,
0.094432,1.548948,0.4457,12.851,11.969,0.43819,C19a1sW00010,
0.111472,0.915945,0.647,14.684,12.32,-1.0,C19a1sW00011,
0.112666,0.99793,1.016,17.004,12.156,-1.0,C19a1sW00012,
0.121446,2.012243,1.2224,10.477,12.256,-1.0,C19a1sW00013,
0.157473,0.58691,0.574,10.074,12.088,0.55223,C19a1sW00014,
0.197932,1.158278,0.8183,23.093,12.416,-1.0,C19a1sW00015,
0.203412,-0.848601,0.4292,15.987,12.1,-1.0,C19a1sW00016,
0.210537,0.784772,0.256,22.551,12.251,0.26345,C19a1sW00017,
0.213068,0.846101,0.9239,11.004,12.064,-1.0,C19a1sW00018,
0.226048,0.290262,0.4917,11.736,11.984,-1.0,C19a1sW00019,
0.24722,0.362202,1.0379,22.023,12.357,-1.0,C19a1sW00020,
0.248494,-0.569752,0.8814,12.484,12.253,-1.0,C19a1sW00021,
0.26844,-0.590312,0.5687,20.474,12.491,0.57378,C19a1sW00022,
0.276164,0.618937,0.7016,10.737,12.063,0.70157,C19a1sW00023,
0.294495,1.374364,0.338,10.119,12.001,0.35966,C19a1sW00024,
0.294545,1.432786,0.7149,14.78,12.536,0.72249,C19a1sW00025,
0.30919,1.728412,0.736,10.739,12.224,-1.0,C19a1sW00026,
0.318782,1.932543,0.8535,12.021,11.99,-1.0,C19a1sW00027,
0.339748,1.030287,0.5628,22.841,12.357,0.55205,C19a1sW00028,
0.341363,-0.193741,0.4623,15.285,11.942,0.46408,C19a1sW00029,
0.348361,1.429939,0.523,10.448,12.142,-1.0,C19a1sW00030,
0.373222,0.925465,0.5578,32.676,12.642,0.55328,C19a1sW00031,
0.401962,0.473335,1.0419,15.593,12.264,-1.0,C19a1sW00032,
0.416369,1.266673,0.6766,12.939,12.384,0.57865,C19a1sW00033,
0.417414,-0.56406,0.238,13.449,12.167,0.24687,C19a1sW00034,
0.425744,1.972926,1.0677,11.724,12.139,-1.0,C19a1sW00035,
0.430209,0.269859,0.682,15.152,12.143,0.66403,C19a1sW00036,
