#   RA         Dec     z_cl    N_mem logMs  z_bcg    ID
  0.002008   2.319796 0.4285  18.383 12.381 0.42819 C19a1nW00001
  0.016384   0.705171 0.2500  16.726 12.240 -1.0    C19a1nW00002
  0.017412   2.328003 0.6544  14.820 12.211 0.64435 C19a1nW00003
  0.030820   0.881904 0.9160  11.270 12.133 -1.0    C19a1nW00004
  0.048219   0.723834 0.5488  10.043 12.231 0.52928 C19a1nW00005
  0.058060   2.016673 0.7850  10.245 12.119 -1.0    C19a1nW00006
  0.081092  -0.166937 0.5540  12.792 12.135 0.53935 C19a1nW00007
  0.092218   1.099093 0.7400  15.831 12.291 -1.0    C19a1nW00008
  0.094432   1.548948 0.4457  12.652 11.969 0.43819 C19a1nW00009
  0.111472   0.915945 0.6469  15.713 12.385 -1.0    C19a1nW00010
  0.112666   0.997930 1.0159  15.112 12.174 -1.0    C19a1nW00011
  0.114844   2.003083 1.2222  10.520 12.257 -1.0    C19a1nW00012
  0.123020   1.120154 1.1941  11.362 12.280 -1.0    C19a1nW00013
  0.157473   0.586910 0.5740  10.871 12.138 0.55223 C19a1nW00014
  0.197932   1.158278 0.8183  23.037 12.420 -1.0    C19a1nW00015
  0.203412  -0.848601 0.4292  16.060 12.116 -1.0    C19a1nW00016
  0.204311   2.401401 0.4067  15.898 12.016 -1.0    C19a1nW00017
  0.204969   2.429034 1.1580  16.042 12.195 -1.0    C19a1nW00018
  0.210537   0.784772 0.2600  29.299 12.360 0.26345 C19a1nW00019
  0.213068   0.846101 0.9239  12.356 12.070 -1.0    C19a1nW00020
  0.235843   1.022405 0.6950  12.381 12.343 -1.0    C19a1nW00021
  0.247220   0.362202 1.0357  21.893 12.405 -1.0    C19a1nW00022
  0.248494  -0.569752 0.8814  13.461 12.276 -1.0    C19a1nW00023
  0.268440  -0.590312 0.5686  21.077 12.497 0.57378 C19a1nW00024
  0.274984   0.783490 0.9261  12.447 12.252 -1.0    C19a1nW00025
  0.276164   0.618937 0.7016  10.592 12.063 0.70157 C19a1nW00026
  0.294495   1.374364 0.3380  12.768 12.151 0.35966 C19a1nW00027
  0.294545   1.432786 0.7200  15.616 12.563 0.72249 C19a1nW00028
  0.309190   1.728412 0.7386  15.819 12.385 -1.0    C19a1nW00029
  0.318782   1.932543 0.8520  10.323 12.061 -1.0    C19a1nW00030
  0.322438   1.385927 0.5270  10.399 12.093 0.52103 C19a1nW00031
  0.339748   1.030287 0.5628  22.508 12.357 0.55205 C19a1nW00032
  0.341363  -0.193741 0.4627  15.555 12.086 0.46408 C19a1nW00033
  0.359690  -0.028558 0.2395  41.545 12.578 0.24793 C19a1nW00034
  0.372773   0.346219 1.0420  14.272 12.310 -1.0    C19a1nW00035
  0.373222   0.925465 0.5572  33.371 12.665 0.55328 C19a1nW00036
  0.399288   2.211131 1.0134  13.573 12.023 -1.0    C19a1nW00037
  0.401962   0.473335 1.0418  14.888 12.295 -1.0    C19a1nW00038
  0.416369   1.266673 0.6767  12.327 12.384 0.57865 C19a1nW00039
  0.417414  -0.564060 0.2380  14.604 12.190 0.24687 C19a1nW00040
  0.425744   1.972926 1.0676  10.926 12.162 -1.0    C19a1nW00041
  0.430209   0.269859 0.6889  13.089 12.285 0.66403 C19a1nW00042
  0.468063  -0.739190 0.9978  34.166 12.510 -1.0    C19a1nW00043
  0.485584   2.313753 0.7422  27.351 12.458 -1.0    C19a1nW00044
  0.487720   0.705805 0.4137  28.727 12.543 0.38866 C19a1nW00045
  0.490619   0.843073 0.7381  21.051 12.509 -1.0    C19a1nW00046
