ra,dec
16.359157,1.717021
16.327169,1.620352
16.290046,1.636991
16.283675,1.657535
16.281334,1.659736
16.28751,1.677197
16.286115,1.681333
16.279258,1.684646
16.290662,1.685009
16.290351,1.68689
16.291189,1.687938
16.292958,1.685755
16.286847,1.688735
16.287792,1.689208
16.291723,1.690096
16.290088,1.686669
16.290102,1.686109
16.284017,1.690643
16.280919,1.692537
16.306173,1.694965
16.297829,1.690348
16.31668,1.704115
16.283592,1.710243
16.30785,1.716006
16.288721,1.716583
16.306282,1.732407
16.31799,1.728992
16.353574,1.734499
16.27237,1.736356
16.329177,1.751994
16.272138,1.756767
16.240058,1.669753
16.223581,1.677572
16.268813,1.680143
16.236796,1.686008
16.241322,1.740889
