ra,dec
135.469628,-1.641652
135.472633,-1.62908
135.377973,-1.63816
135.429693,-1.628804
135.413506,-1.653518
135.457458,-1.647485
135.396602,-1.640688
135.404494,-1.634309
135.361605,-1.637711
135.363692,-1.63684
135.361102,-1.635869
135.440253,-1.63106
135.440675,-1.626859
135.441813,-1.628174
135.438917,-1.632435
135.391983,-1.627433
135.397645,-1.621539
135.398466,-1.611805
135.420606,-1.613274
135.393023,-1.611405
135.440186,-1.602356
135.46352,-1.599059
135.395076,-1.584233

135.420606,-1.613274
